Date_in_days,Category,Negative,Neutral,Positive
30.0,Neutral,2.0,0.0,1.0
61.0,Negative,1.0,0.0,0.0
61.0,Neutral,2.0,0.0,0.0
61.0,Positive,0.0,0.0,1.0
91.0,Neutral,1.0,0.0,0.0
91.0,Positive,2.0,0.0,0.0
122.0,Negative,1.0,0.0,0.0
122.0,Neutral,1.0,0.0,0.0
122.0,Positive,1.0,0.0,1.0
151.0,Neutral,1.0,0.0,0.0
182.0,Positive,1.0,0.0,0.0
213.0,Positive,0.0,0.0,1.0
243.0,Positive,1.0,0.0,1.0
274.0,Negative,4.0,0.0,0.0
274.0,Neutral,3.0,0.0,0.0
274.0,Positive,0.0,0.0,2.0
304.0,Negative,4.0,0.0,0.0
304.0,Positive,1.0,0.0,1.0
335.0,Negative,2.0,0.0,0.0
335.0,Neutral,2.0,0.0,1.0
365.0,Negative,13.0,0.0,1.0
365.0,Neutral,13.0,1.0,9.0
365.0,Positive,2.0,0.0,18.0
730.0,Negative,15.0,0.0,0.0
730.0,Neutral,14.0,0.0,2.0
730.0,Positive,3.0,0.0,7.0
1095.0,Negative,2.0,0.0,0.0
1095.0,Neutral,5.0,0.0,3.0
1095.0,Positive,1.0,0.0,2.0
1460.0,Negative,11.0,0.0,2.0
1460.0,Neutral,5.0,0.0,7.0
1460.0,Positive,2.0,0.0,20.0
1825.0,Negative,5.0,0.0,0.0
1825.0,Neutral,9.0,0.0,4.0
1825.0,Positive,3.0,0.0,18.0
2190.0,Negative,4.0,0.0,1.0
2190.0,Neutral,9.0,0.0,10.0
2190.0,Positive,5.0,0.0,16.0
2555.0,Negative,11.0,0.0,0.0
2555.0,Neutral,5.0,0.0,10.0
2555.0,Positive,5.0,0.0,11.0
2920.0,Negative,1.0,0.0,0.0
2920.0,Neutral,0.0,0.0,3.0
2920.0,Positive,1.0,0.0,6.0
